,Cittadinanza,Continente Politico,M,F,MF,GEOCODED
0,ROMANIA,EUROPA COMUNITARIA,38448,52511,90959,45.843193 24.986855
1,FILIPPINE,ASIA,17205,24480,41685,15.8564 121.131104
2,BANGLADESH,ASIA,23559,7211,30770,24.2887 90.0438
3,REP. POP. CINESE,ASIA,9354,9367,18721,39.390897 -99.066067
4,UCRAINA,EUROPA NON COMUNITARIA,2921,12149,15070,49.024101 31.400038
5,PERU',AMERICA DEL SUD,5236,8209,13445,-9.175354 -74.361778
6,POLONIA,EUROPA COMUNITARIA,4047,8313,12360,52.121216 19.408318
7,EGITTO,AFRICA,8091,3071,11162,26.317301 29.0548
8,INDIA,ASIA,5626,4765,10391,27.0858 80.314003
9,SRI LANKA,ASIA,5138,4522,9660,7.3434 80.719398
10,MOLDOVA,EUROPA NON COMUNITARIA,3002,5550,8552,47.20573 28.471676
11,ECUADOR,AMERICA DEL SUD,3235,4947,8182,-1.454042 -78.36792
12,ALBANIA,EUROPA NON COMUNITARIA,3662,3488,7150,42.651242 -73.755418
13,MAROCCO,AFRICA,2881,2336,5217,30.0348 -8.1155
14,NIGERIA,AFRICA,2514,1927,4441,8.7006 8.5172
15,SPAGNA,EUROPA COMUNITARIA,1640,2683,4323,40.93 -3.4
16,FRANCIA,EUROPA COMUNITARIA,1500,2350,3850,46.623974 2.462247
17,BRASILE,AMERICA DEL SUD,1063,2650,3713,-10.861639 -53.104038
18,ERITREA,AFRICA,1711,1172,2883,15.3316 38.923599
19,PAKISTAN,ASIA,2247,474,2721,31.474501 70.770103
20,COLOMBIA,AMERICA DEL SUD,1153,1453,2606,3.904655 -73.076401
21,REGNO UNITO,EUROPA COMUNITARIA,1123,1475,2598,54.0 -2.0
22,GERMANIA,EUROPA COMUNITARIA,837,1549,2386,51.090614 10.382207
23,ETIOPIA,AFRICA,881,1493,2374,8.3739 39.0588
24,TUNISIA,AFRICA,1428,892,2320,33.962601 9.5798
25,STATI UNITI D'AMERICA,AMERICA DEL NORD,916,1253,2169,39.390897 -99.066067
26,SENEGAL,AFRICA,1751,415,2166,15.2533 -14.1605
27,BULGARIA,EUROPA COMUNITARIA,517,1626,2143,42.760147 25.241814
28,BOSNIA-ERZEGOVINA,EUROPA NON COMUNITARIA,1196,1132,2092,44.165581 17.791399
29,FEDERAZIONE RUSSA,EUROPA NON COMUNITARIA,398,1644,2042,65.067703 116.8564
30,AFGHANISTAN,ASIA,1931,82,2013,33.513199 65.664803
31,REP. ISLAMICA DELL'IRAN,ASIA,972,829,1801,41.15981 -104.74519
32,MALI,AFRICA,1609,49,1658,16.819201 -3.6522
33,REP. DI MACEDONIA,EUROPA NON COMUNITARIA,1001,704,1469,51.0773 38.64
34,CUBA,AMERICA CENTRALE,440,1005,1445,21.610159 -78.928322
35,REP. DI CAPO VERDE,AFRICA,392,984,1376,42.24451 11.68499
36,REP. DOMINICANA,AMERICA CENTRALE,434,810,1244,42.140835 -80.036064
37,COSTA D'AVORIO,AFRICA,1023,180,1203,7.6869 -5.6958
39,SOMALIA,AFRICA,769,361,1130,4.9884 46.470299
40,GEORGIA,ASIA,176,929,1105,32.638481 -83.426574
41,GIAPPONE,ASIA,268,780,1048,36.652302 138.192093
42,MESSICO,AMERICA CENTRALE,441,595,1036,23.93034 -102.510521
43,BOLIVIA,AMERICA DEL SUD,349,607,956,-16.71007 -64.665314
44,TURCHIA,EUROPA NON COMUNITARIA,690,220,910,38.989273 35.43446
45,PORTOGALLO,EUROPA COMUNITARIA,359,532,891,39.687378 -7.963023
46,ARGENTINA,AMERICA DEL SUD,366,478,844,-35.189907 -65.143982
47,ALGERIA,AFRICA,523,307,830,36.775348 3.060066
48,GRECIA,EUROPA COMUNITARIA,391,370,761,39.478577 22.591492
49,GAMBIA,AFRICA,723,16,739,13.4752 -15.309
50,KOSOVO,EUROPA NON COMUNITARIA,541,427,732,43.871162 20.603973
51,LIBIA,AFRICA,431,289,720,28.046301 16.366501
52,CROAZIA,EUROPA NON COMUNITARIA,297,412,709,45.133049 16.397858
53,IRAQ,ASIA,557,120,677,32.885899 43.609299
54,GUINEA,AFRICA,516,153,669,10.4559 -11.1874
55,SIRIA,ASIA,438,226,664,35.880001 38.364201
56,REP. DEMOC. DEL CONGO,AFRICA,329,324,653,36.76535 -2.75966
57,EL SALVADOR,AMERICA CENTRALE,220,431,651,13.724752 -88.870277
58,CAMEROUN,AFRICA,343,296,639,6.3804 12.8155
59,PAESI BASSI,EUROPA COMUNITARIA,251,384,635,52.270329 5.614606
60,BIELORUSSIA,EUROPA NON COMUNITARIA,157,448,605,53.542892 28.05398
61,INDONESIA,ASIA,167,427,594,-0.7366 113.485001
